x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.380000E-03,-57.495E-06,-167.150E-06,+607.381986E-03,+109.223E-06
-1.378000E-03,-165.514E-06,-169.007E-06,+616.954704E-03,+3.119E-06
-1.376000E-03,-159.650E-06,-168.509E-06,+626.364406E-03,+8.512E-06
-1.374000E-03,-234.044E-06,-177.674E-06,+637.243958E-03,-56.598E-06
-1.372000E-03,-222.068E-06,-175.838E-06,+649.204064E-03,-46.476E-06
-1.370000E-03,-201.928E-06,-181.596E-06,+662.156330E-03,-20.622E-06
-1.368000E-03,-239.964E-06,-193.611E-06,+674.656183E-03,-46.615E-06
-1.366000E-03,-355.738E-06,-220.819E-06,+685.686185E-03,-135.118E-06
-1.364000E-03,-332.756E-06,-227.099E-06,+695.522566E-03,-105.875E-06
-1.362000E-03,-257.259E-06,-241.874E-06,+704.580512E-03,-15.655E-06
-1.360000E-03,-327.849E-06,-265.901E-06,+714.480168E-03,-62.184E-06
-1.358000E-03,-342.699E-06,-270.112E-06,+726.678974E-03,-72.833E-06
-1.356000E-03,-318.629E-06,-254.512E-06,+740.410291E-03,-64.355E-06
